day,month,year,precip,tmax,tmin,srad
1,1,1980,0,33.2,23.2,19.32713816
2,1,1980,0,32.6,24.5,10.9045505
3,1,1980,0,33,24,16.26636137
4,1,1980,0.7,33.4,24,16.86320814
5,1,1980,0,32.8,23.5,16.44810436
6,1,1980,0,32.8,24,19.22428828
7,1,1980,0,34,23,22.73405473
8,1,1980,0,35.2,22.5,22.03692952
9,1,1980,0,33.6,23,20.75696523
10,1,1980,0,34,23.4,21.22413404
11,1,1980,0,34.2,22.8,21.83966485
12,1,1980,4.6,34,21.5,22.75040186
13,1,1980,0,34.1,22.3,21.76170724
14,1,1980,0,32.6,21.9,19.89137967
15,1,1980,0,32.6,22.4,20.65949541
16,1,1980,0,32.8,21.5,21.57802789
17,1,1980,0,32.6,21.5,21.76382045
18,1,1980,0,33,21.4,21.21324601
19,1,1980,0,32.5,21.6,18.73991705
20,1,1980,0,32.8,22.5,19.51649106
21,1,1980,0,32.1,23,14.06602844
22,1,1980,0,33.7,21.8,22.41740794
23,1,1980,0,33.7,23.8,20.82461369
24,1,1980,0,32.6,23.2,15.64659506
25,1,1980,0,34.2,22.3,21.35896941
26,1,1980,0,34.7,22,22.00274918
27,1,1980,0,33.4,23,20.54920017
28,1,1980,0,32.6,23,19.84194809
29,1,1980,0,33.2,23,17.17437262
30,1,1980,0,32.9,24,20.53271147
31,1,1980,0,34.1,23.1,14.98353773
1,2,1980,0,31,22.8,18.35132812
2,2,1980,0.2,32,22.4,13.07946803
3,2,1980,0,32.2,22.2,14.93604977
4,2,1980,1.2,31,23.6,17.25748794
5,2,1980,0,30.8,23.5,15.92272221
6,2,1980,0,33.6,22.3,23.30605422
7,2,1980,0,34.4,21.3,23.35824821
8,2,1980,0,34.3,22.5,22.64221696
9,2,1980,0,34.6,21,21.6151913
10,2,1980,0,33.8,22.1,20.89240118
11,2,1980,0,34.8,23,23.87658729
12,2,1980,0,34.9,22.5,23.61955914
13,2,1980,0,35,22,23.3611551
14,2,1980,0,34.8,21.2,21.39082249
15,2,1980,0,34.5,23,24.24229271
16,2,1980,0,33.4,22.8,21.1724227
17,2,1980,0,33.5,21.8,19.96713042
18,2,1980,0,33.5,21.5,17.65999513
19,2,1980,0,33.9,21.5,23.03576677
20,2,1980,0,31.6,21,13.96233202
21,2,1980,0,32.6,23,15.41128207
22,2,1980,0,34.8,21.7,23.17789311
23,2,1980,0,34.2,21.4,22.11747521
24,2,1980,0,35.4,20.8,25.0118296
25,2,1980,0,34.9,21.5,25.53560241
26,2,1980,0,34.6,22.5,24.63016785
27,2,1980,0,35.3,18,24.19830508
28,2,1980,0,34.8,23,24.40169526
29,2,1980,0,33.6,22.5,23.48730302
1,3,1980,0,34.8,21.4,23.6882729
2,3,1980,0,34,22,22.4479444
3,3,1980,0,32.4,22.2,15.59191422
4,3,1980,0,33.6,21.2,20.11448982
5,3,1980,0,34.4,21.5,23.04070038
6,3,1980,0,35.2,22,22.75437795
7,3,1980,0,35.2,22.4,21.82169849
8,3,1980,0,33.3,21.5,23.95104454
9,3,1980,0,35,21.2,22.53083371
10,3,1980,0,35.4,23.5,22.39987382
11,3,1980,0,35.6,23.5,21.78197383
12,3,1980,0,35.4,23.4,22.29577506
13,3,1980,0,35.7,23.4,22.4850959
14,3,1980,0,35.4,24.3,23.16047092
15,3,1980,0,35.6,24.5,23.67334609
16,3,1980,0,36.3,23.2,23.69813815
17,3,1980,0,35.4,23.5,23.72171357
18,3,1980,0,34.6,23.3,22.60466692
19,3,1980,0,33.1,20.5,19.53058734
20,3,1980,0,35.9,24.08,20.1999548
21,3,1980,0,35.8,24.33,23.96667058
22,3,1980,0,32.6,22.3,18.43832491
23,3,1980,0,34.2,22.5,21.06309507
24,3,1980,0,34.8,24,19.77114629
25,3,1980,0,33.6,23.6,16.02822256
26,3,1980,0,35.4,20.5,17.99844401
27,3,1980,0,35,24,15.23162762
28,3,1980,0,35.2,24,18.67087175
29,3,1980,0,32.2,23.8,10.18364337
30,3,1980,19.6,26.3,23.1,9.863867241
31,3,1980,0,35,22,23.92007906
1,4,1980,0,33.6,23,21.96455111
2,4,1980,0,33.8,23.4,14.78165595
3,4,1980,0,34.6,22.8,19.84804646
4,4,1980,0,34,23.5,20.5031594
5,4,1980,0,33.4,23.6,18.70863442
6,4,1980,0,33.4,23.5,18.70910258
7,4,1980,0,33.6,24,20.50279412
8,4,1980,0,33.4,22.5,20.8267658
9,4,1980,0,33.6,23.2,22.94199629
10,4,1980,0,33.2,22.5,20.9822646
11,4,1980,0,33.4,21.5,20.97707048
12,4,1980,0,33.1,19.8,19.99484692
13,4,1980,0,34.6,21.5,21.77682771
14,4,1980,0.2,34.8,23.4,22.0933061
15,4,1980,7.8,34.5,25,15.26497469
16,4,1980,0,36.4,24.8,24.8311324
17,4,1980,3.6,36.7,24.5,22.87244217
18,4,1980,0.4,34.9,24.5,17.83877349
19,4,1980,38.2,35.8,21.6,21.71323875
20,4,1980,0,31.8,21.5,14.10102208
21,4,1980,30.3,32,25.4,12.47871483
22,4,1980,0,31,23,12.31137849
23,4,1980,0.4,31.9,24.5,13.5948445
24,4,1980,1.4,34.8,24,13.90901564
25,4,1980,6.5,34.6,20.7,9.878419199
26,4,1980,0,33.2,24.5,9.873670243
27,4,1980,0,36.2,23.5,26.40315693
28,4,1980,1.6,33.1,25.5,20.60679858
29,4,1980,0,30.4,25.5,10.33827415
30,4,1980,0,33.5,22.6,18.49106336
1,5,1980,0,34,23.1,13.04185011
2,5,1980,0,30,25,12.87220393
3,5,1980,0,34.2,23.4,20.19519917
4,5,1980,0,34.3,23.4,23.20121531
5,5,1980,3.8,34.2,24,19.04335813
6,5,1980,0,30.5,25,9.812835288
7,5,1980,0.2,31.4,24.6,10.12300165
8,5,1980,6.2,28.2,24.4,9.798503644
9,5,1980,0,33.2,22.5,23.0832607
10,5,1980,0,34.2,24,21.63683066
11,5,1980,0,33.28,24.5,22.71938931
12,5,1980,0.8,32.85,25.6,16.2321167
13,5,1980,0.7,33.6,24.5,13.85466292
14,5,1980,0.3,30,24.2,11.01131367
15,5,1980,3.2,32,23.5,14.14324425
16,5,1980,0.2,33,20.8,19.30672326
17,5,1980,0,34.5,23.5,18.50395406
18,5,1980,0,30.5,21.4,9.722419138
19,5,1980,0,33.9,24.5,19.09267772
20,5,1980,0.3,32.3,24.5,11.42436417
21,5,1980,0,35,24.4,18.11985364
22,5,1980,0.3,32,23.5,12.807072
23,5,1980,2.2,32.1,24,16.52994965
24,5,1980,0.8,30,22.5,11.69749799
25,5,1980,15,33,22.6,18.36312397
26,5,1980,6.7,33.5,22.3,18.03659183
27,5,1980,0,32,23.7,14.30311206
28,5,1980,0,34.2,23.5,24.35020179
29,5,1980,36,32,25.6,11.49751461
30,5,1980,0,31,22.6,14.11477767
31,5,1980,0.4,33.1,23.8,20.73921822
1,6,1980,0,30.4,23.2,11.47322332
2,6,1980,0,33,23.4,21.16938979
3,6,1980,1.8,33.9,23,23.9240673
4,6,1980,1.6,32,23.2,18.21726084
5,6,1980,0,33.4,24,21.89298463
6,6,1980,0,32.8,24.2,13.74098445
7,6,1980,0,34.4,25.4,20.79119963
8,6,1980,0,33.4,24,14.49237905
9,6,1980,0,29.4,18,9.581224197
10,6,1980,0.5,32,23.1,10.64905591
11,6,1980,0,31.8,23.8,14.93034278
12,6,1980,0,31.8,24.2,17.21875357
13,6,1980,0,33.4,18,22.86968269
14,6,1980,0,35,18.5,22.24946593
15,6,1980,0,35.6,24.5,25.29759006
16,6,1980,0,35.2,22.3,23.91493437
17,6,1980,1.9,31.8,25.5,12.150696
18,6,1980,10.6,33,25,17.18564879
19,6,1980,0,29.8,23,9.550985884
20,6,1980,0,27.2,22.7,9.549468742
21,6,1980,22.7,31.58,23.5,20.07624434
22,6,1980,14,34.4,25,20.07441656
23,6,1980,0,30.9,24,17.17466134
24,6,1980,0,35,24,25.56518275
25,6,1980,0,34.6,24.9,15.95397845
26,6,1980,0,34.8,24.8,19.7692644
27,6,1980,0,34.8,25.5,18.09241693
28,6,1980,0,36.2,23,22.82609399
29,6,1980,0,36.2,23.5,25.11984629
30,6,1980,3.2,35.2,23,22.07106608
1,7,1980,0,33.6,24.2,20.5488283
2,7,1980,20.2,34.4,25.5,19.17911952
3,7,1980,0,31.7,20.5,13.83483807
4,7,1980,0,34.2,23.2,23.47272901
5,7,1980,0,36.6,24.2,23.02257679
6,7,1980,39.5,35.4,25,21.0421042
7,7,1980,1,31,21.5,15.38481381
8,7,1980,0,34,23,24.27859277
9,7,1980,14,33.6,24.5,21.68432058
10,7,1980,53.9,32.6,22.4,20.62164424
11,7,1980,0,31.2,21.4,21.09333868
12,7,1980,13.4,33.2,23.6,19.87632306
13,7,1980,0,31.6,24.5,16.96693789
14,7,1980,0,31.9,24.5,14.20747065
15,7,1980,11.2,32.8,24.4,17.1411103
16,7,1980,0,31.3,22,15.91907483
17,7,1980,0.6,32.8,24,17.31720401
18,7,1980,0,30,23.7,10.53685121
19,7,1980,0,33.6,23.4,23.98402076
20,7,1980,0,33.4,24,19.3630358
21,7,1980,2.9,32.2,24.4,14.88864086
22,7,1980,0,31,22.2,16.91298181
23,7,1980,4.7,33,21.9,21.42258379
24,7,1980,0,31,21.5,11.03929108
25,7,1980,0,30.2,23,11.66769766
26,7,1980,0,32.8,22.9,21.9407656
27,7,1980,5.2,34,24.5,20.55753798
28,7,1980,0,31.8,22.5,21.82112631
29,7,1980,0,33,22.6,22.15128721
30,7,1980,0,33.9,22.6,22.32599351
31,7,1980,11.3,33.2,24.5,19.5305516
1,8,1980,0,31.6,23.2,15.16413894
2,8,1980,2.1,34,23.5,19.40543331
3,8,1980,0,31.4,23,12.83382496
4,8,1980,2.4,34.2,23.2,21.6344415
5,8,1980,0.6,34.4,22.4,24.16673371
6,8,1980,4.7,32.8,22.5,16.16299503
7,8,1980,1.7,31.2,23.5,13.81216899
8,8,1980,12.2,33,23,19.02376288
9,8,1980,3.8,32,24,16.82840836
10,8,1980,0,31.2,23.5,15.73416179
11,8,1980,0,33.9,24,17.95824833
12,8,1980,3.8,35.3,23.6,22.71903943
13,8,1980,0,33.8,23,19.56658078
14,8,1980,1.2,34.8,24.2,21.79982325
