day,month,year,tmax,tmin,precip,srad
1,1,1980,30.13,20.33,22.30,14.11
2,1,1980,27.60,18.60,4.60,16.38
3,1,1980,29.00,18.80,0.00,21.22
4,1,1980,29.00,19.80,21.40,18.37
5,1,1980,29.20,19.60,0.00,22.77
6,1,1980,28.40,19.00,0.00,19.31
7,1,1980,29.60,18.40,0.00,23.27
8,1,1980,30.00,19.80,0.00,20.26
9,1,1980,30.20,19.40,0.00,22.86
10,1,1980,30.40,19.71,0.00,24.26
11,1,1980,29.40,19.00,1.30,21.85
12,1,1980,29.60,20.20,0.00,20.82
13,1,1980,28.60,19.00,0.00,21.15
14,1,1980,29.00,18.60,4.00,19.34
15,1,1980,25.00,19.80,0.80,11.43
16,1,1980,28.60,17.00,0.00,20.01
17,1,1980,29.20,19.20,0.40,20.50
18,1,1980,28.60,18.40,42.30,15.16
19,1,1980,25.40,18.20,1.20,14.72
20,1,1980,28.40,19.00,0.00,18.13
21,1,1980,29.00,19.60,0.00,14.00
22,1,1980,31.20,19.40,0.00,23.12
23,1,1980,30.00,19.80,0.20,21.61
24,1,1980,27.40,20.40,0.00,11.44
25,1,1980,30.80,17.70,0.00,21.84
26,1,1980,31.60,20.00,0.00,25.91
27,1,1980,31.60,19.37,0.00,23.62
28,1,1980,28.20,21.40,0.00,12.14
29,1,1980,29.60,20.00,29.80,16.53
30,1,1980,23.40,18.37,19.30,9.22
31,1,1980,27.60,18.00,11.00,20.81
1,2,1980,26.20,20.00,6.50,12.38
2,2,1980,26.40,19.40,3.00,13.19
3,2,1980,27.20,20.40,38.40,11.49
4,2,1980,24.20,18.00,8.50,10.25
5,2,1980,26.60,18.40,0.00,11.21
6,2,1980,26.00,19.60,0.30,10.92
7,2,1980,29.00,19.80,0.00,21.06
8,2,1980,29.60,19.80,0.00,22.04
9,2,1980,31.40,20.00,0.00,21.92
10,2,1980,30.20,19.60,0.00,23.23
11,2,1980,30.00,20.00,0.00,25.18
