day,month,year,precip,tmax,tmin,srad
1,1,1980,0,30.67449154,22.67449154,16.37537505
2,1,1980,0,32.20166957,22.60166957,22.53615619
3,1,1980,0,31.22638687,21.82638687,22.8419576
4,1,1980,0,31.43019432,21.53019432,22.86279644
5,1,1980,0,32.10503503,22.70503503,17.23286364
6,1,1980,0,33.65208647,24.65208647,22.62084734
7,1,1980,0,32.90935447,21.10935447,22.50118246
8,1,1980,0,31.61649311,23.11649311,24.10913662
9,1,1980,0,32.31177226,22.91177226,16.45321249
10,1,1980,3.2,33.08556461,23.28556461,20.71875057
11,1,1980,0,32.17360431,22.57360431,22.46340469
12,1,1980,0,33.46388148,23.06388148,18.24065097
13,1,1980,0,30.46411171,23.66411171,23.2462629
14,1,1980,0,31.57954407,21.77954407,17.72852743
15,1,1980,0,32.02165717,23.72165717,17.12971118
16,1,1980,0,34.93954405,23.03954405,19.737455
17,1,1980,0,33.4544886,22.9544886,19.24079768
18,1,1980,0,33.30032977,23.10032977,19.51931707
19,1,1980,0,31.80342296,23.40342296,24.32679756
20,1,1980,0,33.29967083,22.89967083,17.96724474
21,1,1980,22.4,29.0255039,24.8255039,14.35365888
22,1,1980,0,32.64437471,22.04437471,19.62994899
23,1,1980,0,32.13399415,23.43399415,16.927814
24,1,1980,0,31.49548109,22.29548109,16.78408818
25,1,1980,0,30.13782792,22.33782792,16.35806754
26,1,1980,0,33.07682921,23.07682921,18.51428185
27,1,1980,0,33.7270508,21.0270508,19.55319659
28,1,1980,0,31.96328446,23.56328446,18.08836412
29,1,1980,0,33.25173484,23.05173484,17.25160012
30,1,1980,0,32.03507143,24.43507143,18.730116
31,1,1980,0,34.65252937,22.55252937,17.27887962
1,2,1980,0.1,33.60626194,24.20626194,18.91467678
2,2,1980,0,33.272836,22.272836,12.67344011
3,2,1980,0,33.29938214,23.09938214,18.83213088
4,2,1980,0,35.47367516,24.27367516,23.95560015
5,2,1980,0,33.93351906,23.63351906,16.99226937
